X,Y,Z,Vp,Vs,Vp/Vs
737340.0000,9548600.0000,3260.0000,4.9100,2.8400,1.7289
737340.0000,9548600.0000,3220.0000,4.9100,2.8400,1.7289
737340.0000,9548600.0000,3180.0000,4.9100,2.8400,1.7289
737340.0000,9548600.0000,3140.0000,4.9100,2.8400,1.7289
737340.0000,9548600.0000,3100.0000,4.9100,2.8400,1.7289
737340.0000,9548600.0000,3060.0000,4.9100,2.8400,1.7289
737340.0000,9548600.0000,3020.0000,4.9100,2.8400,1.7289
737340.0000,9548600.0000,2980.0000,4.9100,2.8400,1.7289
737340.0000,9548600.0000,2940.0000,4.9100,2.8400,1.7289
737340.0000,9548600.0000,2900.0000,4.9100,2.8400,1.7289
737340.0000,9548600.0000,2860.0000,4.9100,2.8400,1.7289
737340.0000,9548600.0000,2820.0000,4.9100,2.8400,1.7289
737340.0000,9548600.0000,2780.0000,4.9100,2.8400,1.7289
737340.0000,9548600.0000,2740.0000,4.9100,2.8400,1.7289
737340.0000,9548600.0000,2700.0000,4.9100,2.8400,1.7289
737340.0000,9548600.0000,2660.0000,4.9100,2.8400,1.7289
737340.0000,9548600.0000,2620.0000,4.9100,2.8400,1.7289
737340.0000,9548600.0000,2580.0000,4.9100,2.8400,1.7289
737340.0000,9548600.0000,2540.0000,4.9100,2.8400,1.7289
737380.0000,9548600.0000,3300.0000,4.9100,2.8400,1.7289
737380.0000,9548600.0000,3260.0000,4.9100,2.8400,1.7289
737380.0000,9548600.0000,3220.0000,4.9100,2.8400,1.7289
737380.0000,9548600.0000,3180.0000,4.9100,2.8400,1.7289
737380.0000,9548600.0000,3140.0000,4.9100,2.8400,1.7289
737380.0000,9548600.0000,3100.0000,4.9100,2.8400,1.7289
737380.0000,9548600.0000,3060.0000,4.9100,2.8400,1.7289
737380.0000,9548600.0000,3020.0000,4.9100,2.8400,1.7289
737380.0000,9548600.0000,2980.0000,4.9100,2.8400,1.7289
737380.0000,9548600.0000,2940.0000,4.9100,2.8400,1.7289
737380.0000,9548600.0000,2900.0000,4.9100,2.8400,1.7289
737380.0000,9548600.0000,2860.0000,4.9100,2.8400,1.7289
737380.0000,9548600.0000,2820.0000,4.9100,2.8400,1.7289
737380.0000,9548600.0000,2780.0000,4.9100,2.8400,1.7289
737380.0000,9548600.0000,2740.0000,4.9100,2.8400,1.7289
737380.0000,9548600.0000,2700.0000,4.9100,2.8400,1.7289
737380.0000,9548600.0000,2660.0000,4.9100,2.8400,1.7289
737380.0000,9548600.0000,2620.0000,4.9100,2.8400,1.7289
737380.0000,9548600.0000,2580.0000,4.9100,2.8400,1.7289
737380.0000,9548600.0000,2540.0000,4.9100,2.8400,1.7289
737420.0000,9548600.0000,3300.0000,4.9100,2.8400,1.7289
737420.0000,9548600.0000,3260.0000,4.9100,2.8400,1.7289
737420.0000,9548600.0000,3220.0000,4.9100,2.8400,1.7289
737420.0000,9548600.0000,3180.0000,4.9100,2.8400,1.7289
737420.0000,9548600.0000,3140.0000,4.9100,2.8400,1.7289
737420.0000,9548600.0000,3100.0000,4.9100,2.8400,1.7289
737420.0000,9548600.0000,3060.0000,4.9100,2.8400,1.7289
737420.0000,9548600.0000,3020.0000,4.9100,2.8400,1.7289
737420.0000,9548600.0000,2980.0000,4.9100,2.8400,1.7289
737420.0000,9548600.0000,2940.0000,4.9100,2.8400,1.7289
737420.0000,9548600.0000,2900.0000,4.9100,2.8400,1.7289
737420.0000,9548600.0000,2860.0000,4.9100,2.8400,1.7289
737420.0000,9548600.0000,2820.0000,4.9100,2.8400,1.7289
737420.0000,9548600.0000,2780.0000,4.9100,2.8400,1.7289
737420.0000,9548600.0000,2740.0000,4.9100,2.8400,1.7289
737420.0000,9548600.0000,2700.0000,4.9100,2.8400,1.7289
737420.0000,9548600.0000,2660.0000,4.9100,2.8400,1.7289
737420.0000,9548600.0000,2620.0000,4.9100,2.8400,1.7289
737420.0000,9548600.0000,2580.0000,4.9100,2.8400,1.7289
737420.0000,9548600.0000,2540.0000,4.9100,2.8400,1.7289
737460.0000,9548600.0000,3300.0000,4.9100,2.8400,1.7289
737460.0000,9548600.0000,3260.0000,4.9100,2.8400,1.7289
737460.0000,9548600.0000,3220.0000,4.9100,2.8400,1.7289
737460.0000,9548600.0000,3180.0000,4.9100,2.8400,1.7289
737460.0000,9548600.0000,3140.0000,4.9100,2.8400,1.7289
737460.0000,9548600.0000,3100.0000,4.9100,2.8400,1.7289
737460.0000,9548600.0000,3060.0000,4.9100,2.8400,1.7289
737460.0000,9548600.0000,3020.0000,4.9100,2.8400,1.7289
737460.0000,9548600.0000,2980.0000,4.9100,2.8400,1.7289
737460.0000,9548600.0000,2940.0000,4.9100,2.8400,1.7289
737460.0000,9548600.0000,2900.0000,4.9100,2.8400,1.7289
737460.0000,9548600.0000,2860.0000,4.9100,2.8400,1.7289
737460.0000,9548600.0000,2820.0000,4.9100,2.8400,1.7289
737460.0000,9548600.0000,2780.0000,4.9100,2.8400,1.7289
737460.0000,9548600.0000,2740.0000,4.9100,2.8400,1.7289
737460.0000,9548600.0000,2700.0000,4.9100,2.8400,1.7289
737460.0000,9548600.0000,2660.0000,4.9100,2.8400,1.7289
737460.0000,9548600.0000,2620.0000,4.9100,2.8400,1.7289
737460.0000,9548600.0000,2580.0000,4.9100,2.8400,1.7289
737460.0000,9548600.0000,2540.0000,4.9100,2.8400,1.7289
737500.0000,9548600.0000,3300.0000,4.9100,2.8400,1.7289
737500.0000,9548600.0000,3260.0000,4.9100,2.8400,1.7289
737500.0000,9548600.0000,3220.0000,4.9100,2.8400,1.7289
737500.0000,9548600.0000,3180.0000,4.9100,2.8400,1.7289
737500.0000,9548600.0000,3140.0000,4.9100,2.8400,1.7289
737500.0000,9548600.0000,3100.0000,4.9100,2.8400,1.7289
737500.0000,9548600.0000,3060.0000,4.9100,2.8400,1.7289
737500.0000,9548600.0000,3020.0000,4.9100,2.8400,1.7289
737500.0000,9548600.0000,2980.0000,4.9100,2.8400,1.7289
737500.0000,9548600.0000,2940.0000,4.9100,2.8400,1.7289
737500.0000,9548600.0000,2900.0000,4.9100,2.8400,1.7289
737500.0000,9548600.0000,2860.0000,4.9100,2.8400,1.7289
737500.0000,9548600.0000,2820.0000,4.9100,2.8400,1.7289
737500.0000,9548600.0000,2780.0000,4.9100,2.8400,1.7289
737500.0000,9548600.0000,2740.0000,4.9100,2.8400,1.7289
737500.0000,9548600.0000,2700.0000,4.9100,2.8400,1.7289
737500.0000,9548600.0000,2660.0000,4.9100,2.8400,1.7289
737500.0000,9548600.0000,2620.0000,4.9100,2.8400,1.7289
737500.0000,9548600.0000,2580.0000,4.9100,2.8400,1.7289
737500.0000,9548600.0000,2540.0000,4.9100,2.8400,1.7289
737540.0000,9548600.0000,3300.0000,4.9100,2.8400,1.7289
737540.0000,9548600.0000,3260.0000,4.9100,2.8400,1.7289
737540.0000,9548600.0000,3220.0000,4.9100,2.8400,1.7289
737540.0000,9548600.0000,3180.0000,4.9100,2.8400,1.7289
737540.0000,9548600.0000,3140.0000,4.9100,2.8400,1.7289
737540.0000,9548600.0000,3100.0000,4.9100,2.8400,1.7289
737540.0000,9548600.0000,3060.0000,4.9100,2.8400,1.7289
737540.0000,9548600.0000,3020.0000,4.9100,2.8400,1.7289
737540.0000,9548600.0000,2980.0000,4.9100,2.8400,1.7289
737540.0000,9548600.0000,2940.0000,4.9100,2.8400,1.7289
737540.0000,9548600.0000,2900.0000,4.9100,2.8400,1.7289
737540.0000,9548600.0000,2860.0000,4.9100,2.8400,1.7289
737540.0000,9548600.0000,2820.0000,4.9100,2.8400,1.7289
737540.0000,9548600.0000,2780.0000,4.9100,2.8400,1.7289
737540.0000,9548600.0000,2740.0000,4.9100,2.8400,1.7289
737540.0000,9548600.0000,2700.0000,4.9100,2.8400,1.7289
737540.0000,9548600.0000,2660.0000,4.9100,2.8400,1.7289
737540.0000,9548600.0000,2620.0000,4.9100,2.8400,1.7289
737540.0000,9548600.0000,2580.0000,4.9100,2.8400,1.7289
737540.0000,9548600.0000,2540.0000,4.9100,2.8400,1.7289
737580.0000,9548600.0000,3300.0000,4.9100,2.8400,1.7289
737580.0000,9548600.0000,3260.0000,4.9100,2.8400,1.7289
737580.0000,9548600.0000,3220.0000,4.9100,2.8400,1.7289
737580.0000,9548600.0000,3180.0000,4.9100,2.8400,1.7289
737580.0000,9548600.0000,3140.0000,4.9100,2.8400,1.7289
737580.0000,9548600.0000,3100.0000,4.9100,2.8400,1.7289
737580.0000,9548600.0000,3060.0000,4.9100,2.8400,1.7289
737580.0000,9548600.0000,3020.0000,4.9100,2.8400,1.7289
737580.0000,9548600.0000,2980.0000,4.9100,2.8400,1.7289
737580.0000,9548600.0000,2940.0000,4.9100,2.8400,1.7289
737580.0000,9548600.0000,2900.0000,4.9100,2.8400,1.7289
737580.0000,9548600.0000,2860.0000,4.9100,2.8400,1.7289
737580.0000,9548600.0000,2820.0000,4.9100,2.8400,1.7289
737580.0000,9548600.0000,2780.0000,4.9100,2.8400,1.7289
737580.0000,9548600.0000,2740.0000,4.9100,2.8400,1.7289
737580.0000,9548600.0000,2700.0000,4.9100,2.8400,1.7289
737580.0000,9548600.0000,2660.0000,4.9100,2.8400,1.7289
737580.0000,9548600.0000,2620.0000,4.9100,2.8400,1.7289
737580.0000,9548600.0000,2580.0000,4.9100,2.8400,1.7289
737580.0000,9548600.0000,2540.0000,4.9100,2.8400,1.7289
